AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,MIN,USG_PCT,PACE,POSS,FGA_PG,DRIVES,DIST_MILES,AVG_SPEED,PULL_UP_FGA,FRONT_CT_TOUCHES,AVG_DRIB_PER_TOUCH,ELBOW_TOUCHES,PAINT_TOUCHES
25.0,84.0,220.0,8.5,0.114,99.77,872,1.6,0.1,0.59,4.18,0.0,6.7,0.19,0.8,1.9
22.0,84.0,240.0,21.4,0.131,101.51,2965,5.1,0.4,1.62,4.54,0.2,11.9,0.44,1.3,5.9
26.0,83.0,240.0,21.2,0.151,97.97,3401,5.4,0.9,1.57,4.45,0.2,18.9,0.41,2.4,5.9
23.0,73.0,185.0,29.2,0.19,102.35,3737,11.0,11.4,2.33,4.48,4.0,19.5,5.06,0.4,0.7
25.0,78.0,210.0,18.9,0.148,99.15,782,5.5,2.6,1.45,4.64,0.4,20.1,1.21,0.6,1.1
28.0,81.0,230.0,20.9,0.13,98.84,1540,5.3,0.6,1.59,4.57,0.5,14.5,0.43,0.7,1.0
24.0,74.0,185.0,14.7,0.166,101.1,1426,4.7,3.5,1.13,4.32,1.9,12.3,4.25,0.2,0.3
25.0,72.0,201.0,25.5,0.191,99.13,4067,9.4,4.1,1.77,4.17,3.2,30.3,2.87,0.2,0.3
28.0,82.0,225.0,12.8,0.131,96.99,1237,3.1,0.2,0.89,4.18,0.2,7.7,0.41,1.6,2.5
28.0,82.0,279.0,19.7,0.181,99.27,2957,5.9,1.0,1.35,3.91,0.1,18.8,0.67,2.1,6.6
24.0,72.0,179.0,15.4,0.174,100.67,1756,5.4,5.3,1.27,4.54,1.3,14.4,4.36,0.3,0.7
22.0,79.0,215.0,27.3,0.182,99.47,3960,9.9,2.6,1.98,4.11,1.9,24.3,1.08,0.5,0.8
34.0,71.0,183.0,16.1,0.139,100.92,1866,4.0,3.4,1.17,4.1,1.3,12.5,4.79,0.1,0.1
28.0,71.0,167.0,17.7,0.174,98.86,1159,5.9,3.4,1.39,4.41,2.5,16.1,3.65,0.3,0.4
29.0,80.0,198.0,22.2,0.145,100.09,2925,6.6,0.9,1.67,4.23,1.0,19.3,0.67,1.0,2.3
23.0,76.0,202.0,28.2,0.159,98.0,3339,7.7,8.5,2.16,4.29,0.5,22.5,4.12,0.6,2.2
30.0,82.0,253.0,33.8,0.281,102.55,3466,17.3,3.0,2.25,3.77,2.9,37.8,0.89,5.3,10.7
31.0,77.0,220.0,33.8,0.173,97.12,4307,11.1,4.6,2.36,4.2,3.3,34.5,1.41,1.4,1.2
26.0,81.0,228.0,19.9,0.099,97.9,1578,3.9,1.5,1.47,4.12,0.2,12.8,0.51,0.3,0.6
26.0,76.0,205.0,9.7,0.149,103.57,1007,2.6,1.3,0.75,4.33,0.3,6.6,1.04,0.4,0.9
28.0,83.0,240.0,20.9,0.177,100.91,2113,6.8,1.8,1.61,4.33,0.2,21.6,0.6,3.4,6.0
29.0,84.0,280.0,34.7,0.37,97.83,4257,20.3,6.1,2.2,3.57,7.1,51.9,1.17,9.0,5.1
29.0,83.0,275.0,29.8,0.232,97.59,2478,10.3,0.2,1.88,3.81,0.0,29.5,0.65,2.4,9.6
28.0,72.0,175.0,30.0,0.19,100.94,4669,10.5,6.6,2.12,4.24,3.9,26.8,4.15,0.8,1.1
21.0,82.0,221.0,3.0,0.15,103.76,136,0.7,0.4,0.23,4.16,0.1,2.5,0.62,0.1,0.7
21.0,80.0,237.0,18.1,0.169,102.67,1852,5.6,2.3,1.35,4.14,0.6,16.4,1.15,2.3,2.3
27.0,78.0,218.0,30.2,0.167,102.73,4909,9.8,7.0,2.45,4.55,1.3,35.9,0.96,0.8,1.3
27.0,79.0,230.0,20.7,0.176,97.38,2936,7.0,2.6,1.52,4.09,0.9,19.9,1.55,0.4,0.8
28.0,84.0,270.0,10.9,0.206,97.09,744,3.9,0.4,0.75,4.14,0.1,8.6,0.36,1.8,4.2
25.0,81.0,250.0,12.3,0.207,94.57,975,4.8,0.4,0.85,4.13,0.4,11.8,0.37,0.7,1.3
29.0,75.0,190.0,33.4,0.286,103.28,5690,18.3,8.4,2.48,4.46,7.7,32.9,3.83,1.4,2.2
31.0,79.0,220.0,24.4,0.115,95.34,2807,4.0,2.1,1.64,4.05,0.2,23.5,1.28,0.4,1.7
32.0,80.0,240.0,35.1,0.291,94.5,4982,18.2,3.2,2.25,3.85,7.7,46.6,1.98,5.0,3.2
25.0,81.0,205.0,15.4,0.14,103.42,1980,4.1,0.6,1.19,4.33,0.0,9.7,0.43,1.4,4.2
31.0,72.0,175.0,28.2,0.176,98.95,4428,8.7,7.5,2.09,4.17,4.2,23.8,4.72,0.4,0.6
25.0,78.0,175.0,28.7,0.226,97.27,4778,12.0,7.3,2.02,4.23,3.4,29.7,2.5,0.7,1.3
25.0,75.0,208.0,29.5,0.244,94.65,4483,12.9,12.7,2.0,4.08,5.5,24.4,5.55,0.6,0.9
27.0,79.0,215.0,8.3,0.105,96.57,439,1.6,1.1,0.64,4.57,0.2,6.4,1.72,0.3,0.7
36.0,72.0,190.0,20.3,0.137,100.34,2124,4.9,5.3,1.4,4.17,2.2,19.7,3.76,0.1,0.4
