PLAYER_NAME,SEASON,DIST_MILES,PACE,POSS,FRONT_CT_TOUCHES,MIN,FGA_PG,USG_PCT,PAINT_TOUCHES,AVG_SPEED,AVG_DRIB_PER_TOUCH,INJURED_TYPE,INJURY
Jonas Valanciunas,22-23,1.77,99.99,3628,30.6,24.8,10.3,0.23,6.5,4.03,0.58,No_injury,0
Jonathan Kuminga,22-23,1.62,103.28,2654,19.7,20.6,7.5,0.198,2.2,4.39,1.48,Sprained_ankle,1
Jordan Clarkson,22-23,2.46,100.54,4165,31.7,32.6,16.9,0.273,1.4,4.22,3.52,No_injury,0
Jordan Goodwin,22-23,1.38,101.04,1942,14.2,17.1,5.0,0.154,1.0,4.47,3.77,No_injury,0
Jordan McLaughlin,22-23,1.31,106.82,1273,12.7,15.9,3.6,0.116,0.4,4.59,3.63,No_injury,0
Jordan Nwora,22-23,1.37,102.84,2109,15.1,17.9,6.5,0.184,0.7,4.36,1.51,No_injury,0
Jordan Poole,22-23,2.23,104.25,4974,32.9,30.4,15.7,0.279,0.9,4.08,3.76,No_injury,0
Jose Alvarado,22-23,1.72,101.79,2778,18.1,21.5,8.0,0.191,0.6,4.47,4.17,No_injury,0
Josh Christopher,22-23,0.88,99.92,1353,11.4,11.6,4.8,0.213,0.3,4.24,3.4,No_injury,0
Josh Giddey,22-23,2.37,103.05,4579,36.4,30.9,14.5,0.238,2.9,4.33,2.8,No_injury,0
Josh Green,22-23,2.06,99.19,2875,17.9,25.8,6.6,0.146,1.4,4.46,2.12,No_injury,0
Josh Hart,22-23,2.4,98.99,4644,22.2,32.6,6.9,0.124,1.8,4.11,2.1,Sprained_ankle,1
Josh Okogie,22-23,1.37,101.01,2332,13.1,17.7,5.6,0.179,1.6,4.32,1.72,No_injury,0
Josh Richardson,22-23,1.87,103.14,2885,21.8,24.0,9.1,0.188,0.8,4.33,2.64,Sore_knee,1
Jrue Holiday,22-23,2.42,102.86,4298,25.7,32.7,15.2,0.241,2.3,4.17,4.5,No_injury,0
Juan Toscano-Anderson,22-23,0.96,102.83,1107,8.0,12.0,2.2,0.102,1.5,4.45,1.22,Sprained_ankle,1
Juancho Hernangomez,22-23,1.16,99.21,1271,9.2,14.6,2.7,0.092,1.1,4.46,0.51,No_injury,0
Julius Randle,22-23,2.52,97.82,5499,43.9,35.9,18.8,0.288,3.1,3.92,1.92,No_injury,0
Justin Holiday,22-23,1.19,103.99,1367,11.3,15.3,4.4,0.13,0.6,4.29,0.75,No_injury,0
